Color	Type	SKU	Description	Base Price
CSW	WALL CABINETS	CSW-W1236	Wall cabinet 12"W x 36"H x 12"D	90.75
CSW	WALL CABINETS	CSW-W1536	Wall cabinet 15"W x 36"H x 12"D	104.72
CSW	WALL CABINETS	CSW-W1836	Wall cabinet 18"W x 36"H x 12"D	111.28
CSW	WALL CABINETS	CSW-W2136	Wall cabinet 21"W x 36"H x 12"D	131.5
CSW	WALL CABINETS	CSW-W2436	Wall cabinet 24"W x 36"H x 12"D	139.32
CSW	WALL CABINETS	CSW-W2736	Wall cabinet 27"W x 36"H x 12"D	156.86
CSW	WALL CABINETS	CSW-W3036	Wall cabinet 30"W x 36"H x 12"D	168.15
CSW	WALL CABINETS	CSW-W3336	Wall cabinet 33"W x 36"H x 12"D	173.62
CSW	WALL CABINETS	CSW-W3636	Wall cabinet 36"W x 36"H x 12"D	184.62
CSW	WALL CABINETS	CSW-W3936	Wall cabinet 39"W x 36"H x 12"D	195.62
CSW	WALL CABINETS	CSW-W4236	Wall cabinet 42"W x 36"H x 12"D	206.62
CSW	WALL CABINETS	CSW-W0942	Wall cabinet 9"W x 42"H x 12"D	77.94
CSW	WALL CABINETS	CSW-W1242	Wall cabinet 12"W x 42"H x 12"D	96.13
CSW	WALL CABINETS	CSW-W1542	Wall cabinet 15"W x 42"H x 12"D	111.96
CSW	WALL CABINETS	CSW-W1842	Wall cabinet 18"W x 42"H x 12"D	126.12
CSW	WALL CABINETS	CSW-W2142	Wall cabinet 21"W x 42"H x 12"D	140.26
CSW	WALL CABINETS	CSW-W2442	Wall cabinet 24"W x 42"H x 12"D	156.82
CSW	WALL CABINETS	CSW-W2742	Wall cabinet 27"W x 42"H x 12"D	171.91
CSW	WALL CABINETS	CSW-W3042	Wall cabinet 30"W x 42"H x 12"D	185.11
CSW	WALL CABINETS	CSW-W3342	Wall cabinet 33"W x 42"H x 12"D	197.82
CSW	WALL CABINETS	CSW-W3642	Wall cabinet 36"W x 42"H x 12"D	212.24
CSW	WALL CABINETS	CSW-W3942	Wall cabinet 39"W x 42"H x 12"D	216.64
CSW	WALL CABINETS	CSW-W4242	Wall cabinet 42"W x 42"H x 12"D	219.33
